"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"alpha",14.914662570949,14.9045,4.60840705367535,4.60028541,7.3246625,22.478325,1.00050272186797,11096.6053391939,17659.4110667995
"beta[1]",-0.118415548465675,-0.123323,0.0324932429069028,0.0314696676,-0.1632441,-0.05794698,1.00027169691786,25674.2235067332,23664.5564095915
"beta[2]",0.035261993240515,0.03536935,0.0103386153853745,0.01023334998,0.01811648,0.05209079,1.00015480168954,23970.4125331017,27121.5226562963
"beta[3]",0.0091106398781605,0.00991847,0.0372296265717812,0.03680754651,-0.053028545,0.06888807,1.00015219887308,28424.9754733148,26133.0224191377
"beta[4]",1.49181679632825,1.47739,0.615344449109562,0.608585061,0.5117566,2.5281905,1.00006469254531,31081.2817203137,24766.4227947169
"beta[5]",-8.99212595748275,-9.00617,2.83215443309352,2.848044948,-13.636605,-4.3643755,1.00011402570033,18306.1502327712,24468.2962575366
"beta[6]",5.255783667,5.25672,0.457755179327365,0.456225672,4.499958,6.009913,1.00029172975882,13054.1033818359,20692.646059693
"beta[7]",-0.0257750173480307,-0.0256586,0.00998125073370086,0.00989442762,-0.042301735,-0.00952064600000001,1.00015707746956,18567.6629922918,23782.9815435495
"beta[8]",-0.990475509625,-0.990926,0.146248074703061,0.147103572,-1.2298305,-0.75118935,1.00017017035298,22202.3404195786,25884.7939611014
"beta[9]",0.17975564239825,0.1804095,0.0520853299553998,0.0522816651,0.092938685,0.2640331,1.00029326200568,16706.8833052289,23384.3648281532
"beta[10]",-0.010258589244555,-0.01033125,0.0026440235518664,0.002637500922,-0.014474445,-0.005765407,1.0001697136294,19296.8928492023,23999.4950712646
"beta[11]",-0.745794125575,-0.746815,0.0931314868490608,0.0926002308,-0.89627225,-0.59142235,1.00025521415543,19821.8407317031,24185.3916532841
"beta[12]",0.01172809549575,0.0116916,0.00197290169478531,0.00194732097,0.0085379455,0.015048805,1.0000481748988,31154.7494757207,26507.9727135106
"beta[13]",-0.3087877210325,-0.308453,0.0488782061052538,0.0489398847,-0.3896601,-0.22888395,1.0001494286839,16869.6696088982,23558.0804660135
