"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"alpha",35.7277553275,35.7187,4.33928210290351,4.31851728,28.59945,42.89607,1.00047444543463,16771.9968804035,22788.9036516534
"beta[1]",-0.1169743760825,-0.1149875,0.030051591324163,0.02958758103,-0.1696885,-0.07137154,1.00006112638602,41731.9088467788,27005.5697019973
"beta[2]",0.028211725575291,0.028193,0.0115661059343613,0.01152069156,0.0092303605,0.04710441,0.999995231662268,33778.9593686323,29274.3315267139
"beta[3]",0.0279643910821702,0.02867505,0.0489304943904272,0.048920692443,-0.05411236,0.10721605,1.00009614933024,36229.1274293336,28328.0100211749
"beta[4]",1.38234749806635,1.394245,0.717473845406004,0.71817144,0.171363,2.54012,1.00009133340058,40843.7473201998,29814.5174641663
"beta[5]",-14.024073190925,-13.987,3.28330279781331,3.30590148,-19.47882,-8.6861175,1.00007570779266,26542.146038755,28558.8287219504
"beta[6]",3.42048584325,3.41758,0.39817279841045,0.397470234,2.769339,4.0810525,1.00036551371248,22959.6876695301,28660.086423336
"beta[7]",-0.0154924610867512,-0.01550875,0.011044477106511,0.011020269582,-0.033584855,0.00278049149999999,1.00026006650104,34025.6364400122,29864.7241451077
"beta[8]",-1.12323658185,-1.122575,0.179711063765754,0.180350877,-1.4213605,-0.82849965,1.00008567990569,28615.1837975892,29609.1397885964
"beta[9]",0.240438872335,0.240064,0.0596207080505455,0.0594959967,0.14330865,0.3405189,1.00000611417586,21697.7525427551,27647.1405958484
"beta[10]",-0.0145343767243,-0.01449905,0.00316835512069993,0.00317550681,-0.019805405,-0.009397871,1.00000415889273,26057.7357521266,28254.435973898
"beta[11]",-0.819358363625,-0.818639,0.10994498163354,0.1094914926,-1.00138,-0.6407117,1.00019370912213,27037.8560480865,28634.8867769057
"beta[12]",0.0073467129216875,0.007317675,0.00207341700946894,0.002068553172,0.00399028,0.010821405,0.999989650466601,49887.1053243067,29362.2559823964
"beta[13]",-0.430818942175,-0.430518,0.0484825533448919,0.0484721244,-0.510974,-0.3516479,1.00007075667946,28554.4510243347,28327.7117860592
